Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,54.753989361702125,166.18159906914894
2,5272,60.982549317147196,136.0563353566009
3,2607,56.00306866129651,198.46643651706944
4,1537,51.398828887443074,226.08978529603124
5,804,47.014925373134325,212.69402985074626
6,477,41.509433962264154,195.47379454926624
7,273,47.61904761904762,158.01098901098902
8,247,38.46153846153846,134.27935222672065
9,223,43.04932735426009,125.19730941704036
10,118,41.52542372881356,114.05084745762711
11,109,39.44954128440367,101.03669724770643
12,97,42.2680412371134,88.95876288659794
13,77,32.467532467532465,90.7012987012987
14,47,36.170212765957444,51.08510638297872
15,26,26.923076923076923,42.23076923076923
16,24,50.0,64.33333333333333
17,32,31.25,55.21875
18,13,23.076923076923077,26.692307692307693
19,14,35.714285714285715,37.214285714285715
20,9,22.22222222222222,30.333333333333332
21,10,70.0,10.9
24,1,0.0,17.0
25,4,0.0,7.0
27,2,50.0,7.0
29,2,0.0,24.5
32,1,100.0,7.0
33,1,0.0,7.0
34,2,50.0,8.5
36,2,50.0,204.0
38,1,100.0,145.0
