Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,36.984707446808514,147.3942819148936
computer science,410,39.26829268292683,122.87317073170732
math,1351,35.085122131754254,204.38712065136934
chemistry,1132,27.738515901060072,265.2809187279152
engineering,969,31.57894736842105,320.96078431372547
law,1101,21.344232515894642,40.25068119891008
biology,717,59.8326359832636,84.06555090655509
health,818,40.831295843520785,64.25794621026895
physics,1299,31.17782909930716,247.1785989222479
business,789,40.93789607097592,143.2915082382763
philosophy,499,34.2685370741483,72.74549098196393
economics,844,46.44549763033175,85.68364928909952
other,924,40.58441558441559,74.89285714285714
psychology,798,49.74937343358396,61.6328320802005
history,381,35.17060367454068,45.503937007874015
