Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,36.477726063829785,122.37441821808511
computer science,410,37.31707317073171,78.68536585365854
math,1351,34.93708364174685,154.319763138416
chemistry,1132,28.886925795053003,220.7862190812721
engineering,969,30.23735810113519,336.5799793601651
law,1101,22.3433242506812,30.733878292461398
biology,717,57.74058577405858,69.76708507670851
health,818,42.053789731051346,57.41687041564792
physics,1299,29.561200923787528,177.82602001539647
business,789,38.40304182509506,110.11787072243347
philosophy,499,32.66533066132264,54.90981963927856
economics,844,46.208530805687204,74.8021327014218
other,924,39.935064935064936,61.68073593073593
psychology,798,50.6265664160401,56.06015037593985
history,381,33.333333333333336,38.36482939632546
