Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,50.53191489361702,186.75432180851064
computer science,410,52.926829268292686,163.1439024390244
math,1351,48.85270170244264,199.46039970392303
chemistry,1132,46.37809187279152,277.6519434628975
engineering,969,40.76367389060888,319.3550051599587
law,1101,32.606721162579476,142.425068119891
biology,717,72.94281729428172,153.9539748953975
health,818,54.15647921760391,144.1919315403423
physics,1299,44.41878367975366,238.73979984603542
business,789,51.837769328263626,163.84157160963244
philosophy,499,49.699398797595194,133.4869739478958
economics,844,63.74407582938389,149.4170616113744
other,924,53.46320346320346,131.9318181818182
psychology,798,63.03258145363409,125.85839598997494
history,381,49.60629921259842,124.18635170603675
