Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,50.53191489361702,186.75432180851064
2,5272,58.21320182094082,156.79571320182094
3,2607,48.59992328346759,207.9144610663598
4,1537,45.7384515289525,240.1515940143136
5,804,43.407960199004975,242.84825870646767
6,477,39.20335429769392,215.72117400419287
7,273,37.72893772893773,193.0915750915751
8,247,39.27125506072875,174.40485829959513
9,223,37.219730941704036,162.13452914798205
10,118,34.74576271186441,155.53389830508473
11,109,33.027522935779814,152.1834862385321
12,97,42.2680412371134,144.53608247422682
13,77,37.66233766233766,137.84415584415584
14,47,51.06382978723404,128.31914893617022
15,26,23.076923076923077,101.96153846153847
16,24,29.166666666666668,111.29166666666667
17,32,28.125,120.53125
18,13,61.53846153846154,89.15384615384616
19,14,42.857142857142854,65.14285714285714
20,9,44.44444444444444,48.0
21,10,40.0,115.6
24,1,0.0,176.0
25,4,25.0,38.0
27,2,50.0,32.0
29,2,0.0,7.0
32,1,100.0,7.0
33,1,100.0,7.0
34,2,50.0,13.0
36,2,50.0,130.5
38,1,100.0,7.0
