Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,47.174202127659576,160.62624667553192
computer science,410,46.09756097560975,133.99268292682927
math,1351,46.039970392301996,164.04071058475205
chemistry,1132,40.63604240282685,231.68904593639576
engineering,969,39.0092879256966,286.0866873065016
law,1101,31.51680290644868,135.8882833787466
biology,717,68.61924686192468,138.03765690376568
health,818,53.9119804400978,124.56968215158925
physics,1299,39.87682832948422,197.98537336412625
business,789,46.51457541191382,137.62484157160964
philosophy,499,45.29058116232465,112.06012024048096
economics,844,59.71563981042654,133.0888625592417
other,924,50.21645021645022,108.9534632034632
psychology,798,60.65162907268171,109.78822055137844
history,381,48.29396325459317,115.03149606299213
