length,background,inference,hypothesize,wait
1,0.9370257966616085,0.05671471927162367,0.006069802731411229,0.00018968133535660092
2,0.4902186421173763,0.498849252013809,0.010548523206751054,0.0003835826620636747
3,0.33138147907178483,0.3461288223812622,0.32205595315549773,0.00043374539145521576
4,0.25,0.38681592039800994,0.36100746268656714,0.0021766169154228856
5,0.20041928721174004,0.3949685534591195,0.3907756813417191,0.013836477987421384
6,0.16788766788766787,0.41514041514041516,0.41514041514041516,0.0018315018315018315
7,0.14285714285714285,0.3967611336032389,0.43956043956043955,0.020821283979178717
8,0.12612107623318386,0.38004484304932734,0.4882286995515695,0.005605381165919282
9,0.11770244821092278,0.3615819209039548,0.504708097928437,0.0160075329566855
10,0.10275229357798166,0.3302752293577982,0.5532110091743119,0.013761467889908258
11,0.09465791940018745,0.3036551077788191,0.5679475164011246,0.033739456419868794
12,0.08441558441558442,0.29329004329004327,0.5638528138528138,0.05844155844155844
13,0.07692307692307693,0.309328968903437,0.5711947626841244,0.0425531914893617
14,0.07692307692307693,0.3159340659340659,0.5851648351648352,0.02197802197802198
15,0.06666666666666667,0.2861111111111111,0.5972222222222222,0.05
16,0.072265625,0.248046875,0.5390625,0.140625
17,0.058823529411764705,0.24434389140271492,0.6289592760180995,0.06787330316742081
18,0.05555555555555555,0.23412698412698413,0.4603174603174603,0.25
19,0.05263157894736842,0.26900584795321636,0.5614035087719298,0.11695906432748537
20,0.05,0.255,0.64,0.055
23,0.043478260869565216,0.391304347826087,0.5217391304347826,0.043478260869565216
24,0.041666666666666664,0.3020833333333333,0.4375,0.21875
26,0.038461538461538464,0.07692307692307693,0.1346153846153846,0.75
28,0.03571428571428571,0.17857142857142858,0.39285714285714285,0.39285714285714285
31,0.06451612903225806,0.1935483870967742,0.1935483870967742,0.5483870967741935
32,0.0625,0.21875,0.1875,0.53125
33,0.030303030303030304,0.22727272727272727,0.3333333333333333,0.4090909090909091
35,0.05714285714285714,0.12857142857142856,0.2,0.6142857142857143
37,0.02702702702702703,0.10810810810810811,0.10810810810810811,0.7567567567567568
