Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,56.52426861702128,124.32355385638297
computer science,410,59.75609756097561,99.52926829268293
math,1351,55.88452997779422,169.33382679496668
chemistry,1132,52.03180212014134,233.07155477031802
engineering,969,46.02683178534572,216.44478844169245
law,1101,36.51226158038147,39.17347865576748
biology,717,76.70850767085076,77.81589958158996
health,818,62.469437652811735,57.743276283618584
physics,1299,51.57813702848345,200.62278675904543
business,789,63.87832699619772,137.99112801013942
philosophy,499,53.50701402805611,73.48697394789579
economics,844,69.07582938388626,91.02014218009478
other,924,56.6017316017316,64.80844155844156
psychology,798,68.796992481203,55.14661654135338
history,381,54.330708661417326,51.67716535433071
