Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,56.52426861702128,124.32355385638297
2,5272,62.61380880121396,93.98141122913505
3,2607,57.268891446106636,170.49597238204834
4,1537,53.415744957709826,182.7234873129473
5,804,50.62189054726368,176.47014925373134
6,477,40.461215932914044,143.53459119496856
7,273,50.18315018315018,95.17582417582418
8,247,44.12955465587044,64.48582995951416
9,223,47.08520179372197,43.74887892376682
10,118,38.983050847457626,28.56779661016949
11,109,38.53211009174312,25.844036697247706
12,97,47.422680412371136,20.288659793814432
13,77,40.25974025974026,30.2987012987013
14,47,46.808510638297875,12.553191489361701
15,26,26.923076923076923,16.76923076923077
16,24,41.666666666666664,9.083333333333334
17,32,34.375,16.875
18,13,30.76923076923077,22.923076923076923
19,14,50.0,8.5
20,9,11.11111111111111,8.777777777777779
21,10,20.0,7.3
24,1,0.0,14.0
25,4,25.0,12.5
27,2,50.0,32.0
29,2,0.0,7.0
32,1,100.0,7.0
33,1,0.0,7.0
34,2,50.0,10.5
36,2,50.0,10.5
38,1,100.0,7.0
