Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,41.946476063829785,72.79296875
computer science,410,46.58536585365854,50.302439024390246
math,1351,37.82383419689119,73.45965951147298
chemistry,1132,30.742049469964666,111.76060070671377
engineering,969,34.7781217750258,166.04953560371516
law,1101,24.977293369663943,25.999091734786557
biology,717,65.13249651324965,52.08926080892608
health,818,50.122249388753055,50.04767726161369
physics,1299,34.8729792147806,96.68283294842186
business,789,48.28897338403042,76.31812420785805
philosophy,499,41.08216432865731,54.5811623246493
economics,844,51.65876777251185,62.04976303317535
other,924,46.753246753246756,47.353896103896105
psychology,798,57.64411027568922,42.962406015037594
history,381,37.00787401574803,47.76640419947507
