Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,41.946476063829785,72.79296875
2,5272,48.23596358118361,52.298179059180576
3,2607,39.16378979670119,93.22056003068661
4,1537,38.71177618737801,98.0644111906311
5,804,37.43781094527363,121.32711442786069
6,477,31.656184486373167,127.35429769392033
7,273,39.1941391941392,55.54212454212454
8,247,30.364372469635626,47.18623481781376
9,223,31.838565022421523,46.233183856502244
10,118,26.271186440677965,28.74576271186441
11,109,32.11009174311926,22.10091743119266
12,97,40.20618556701031,12.608247422680412
13,77,25.974025974025974,16.12987012987013
14,47,36.170212765957444,13.425531914893616
15,26,19.23076923076923,13.038461538461538
16,24,33.333333333333336,16.958333333333332
17,32,37.5,12.6875
18,13,30.76923076923077,14.692307692307692
19,14,14.285714285714286,15.571428571428571
20,9,11.11111111111111,12.444444444444445
21,10,50.0,11.2
24,1,0.0,17.0
25,4,25.0,17.0
27,2,0.0,26.0
29,2,50.0,23.5
32,1,100.0,22.0
33,1,0.0,21.0
34,2,50.0,13.0
36,2,0.0,7.0
38,1,0.0,6.0
