Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,36.419547872340424,265.1199301861702
computer science,410,34.63414634146341,272.47317073170734
math,1351,35.38119911176906,348.8860103626943
chemistry,1132,30.918727915194346,367.3683745583039
engineering,969,29.308565531475747,425.6831785345717
law,1101,21.25340599455041,194.23887375113534
biology,717,59.9721059972106,217.55090655509065
health,818,41.32029339853301,195.96699266503668
physics,1299,31.40877598152425,333.0662047729022
business,789,41.191381495564,240.16730038022814
philosophy,499,31.462925851703407,177.07815631262525
economics,844,45.023696682464454,211.58175355450237
other,924,37.878787878787875,168.15151515151516
psychology,798,47.99498746867168,172.28822055137846
history,381,32.28346456692913,174.36745406824147
