Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,36.419547872340424,265.1199301861702
2,5272,42.0144157814871,221.65477996965097
3,2607,35.558112773302646,291.81549673954737
4,1537,32.53090435914118,356.7150292778139
5,804,33.208955223880594,324.797263681592
6,477,27.88259958071279,297.0062893081761
7,273,26.007326007326007,274.45787545787545
8,247,27.125506072874494,247.06882591093117
9,223,26.905829596412556,219.41255605381167
10,118,25.423728813559322,219.97457627118644
11,109,22.01834862385321,213.1743119266055
12,97,25.77319587628866,189.93814432989691
13,77,27.272727272727273,207.71428571428572
14,47,29.78723404255319,230.0212765957447
15,26,11.538461538461538,198.80769230769232
16,24,12.5,207.83333333333334
17,32,25.0,194.71875
18,13,53.84615384615385,180.0
19,14,14.285714285714286,236.57142857142858
20,9,11.11111111111111,224.55555555555554
21,10,0.0,288.0
24,1,0.0,303.0
25,4,25.0,127.25
27,2,0.0,161.0
29,2,50.0,214.5
32,1,0.0,228.0
33,1,0.0,209.0
34,2,50.0,279.0
36,2,50.0,270.0
38,1,0.0,173.0
