Category,Total,File 1 Accuracy,File 1 Latency
All,1400,57.785714285714285,6.661678070170539
computer science,100,61.0,5.3151989889144895
math,100,50.0,9.709210579395295
chemistry,100,54.0,12.619365804195404
engineering,100,47.0,12.198717589378356
law,100,35.0,2.6782982873916628
biology,100,82.0,5.096037571430206
health,100,64.0,3.8671895146369932
physics,100,50.0,12.279724073410033
business,100,62.0,7.664499542713165
philosophy,100,55.0,3.953968439102173
economics,100,67.0,6.696528859138489
other,100,66.0,4.153781270980835
psychology,100,68.0,3.5692855453491212
history,100,48.0,3.461686916351318
