Length,Total,File 1 Accuracy,File 1 Latency
All,1400,43.214285714285715,0.8700555539131165
9,25,24.0,0.37127909660339353
3,283,39.92932862190813,0.8226077261746141
2,632,48.41772151898734,0.6902940311009371
4,181,42.5414364640884,1.249450557139697
5,92,36.95652173913044,1.719627144544021
7,22,18.181818181818183,0.9064950942993164
8,33,51.515151515151516,0.5645776228471235
6,49,32.6530612244898,1.8972851986787758
11,14,35.714285714285715,0.2895549365452358
10,13,53.84615384615385,0.27526009999788725
12,17,29.41176470588235,0.23382754886851592
13,8,25.0,0.328250914812088
14,6,66.66666666666667,0.26923008759816486
15,4,50.0,0.2741127610206604
16,3,66.66666666666667,0.3033305009206136
21,2,50.0,0.26175928115844727
17,6,33.333333333333336,0.2787018616994222
25,2,0.0,0.43210673332214355
19,3,0.0,0.360864798227946
27,1,0.0,0.4731559753417969
20,1,0.0,0.2570195198059082
32,1,100.0,0.41660380363464355
29,2,50.0,0.345220685005188
