Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,54.753989361702125,166.18159906914894
computer science,410,59.02439024390244,144.38536585365853
math,1351,54.55218356772761,181.77054034048854
chemistry,1132,49.91166077738516,265.8462897526502
engineering,969,42.621259029927764,305.5263157894737
law,1101,34.786557674841056,106.83560399636694
biology,717,76.29009762900976,134.49093444909346
health,818,58.67970660146699,117.74694376528117
physics,1299,53.194765204003076,216.42879137798306
business,789,60.07604562737642,145.16983523447402
philosophy,499,50.300601202404806,111.80961923847696
economics,844,65.16587677725119,127.43601895734596
other,924,56.81818181818182,113.42207792207792
psychology,798,68.42105263157895,108.97619047619048
history,381,48.29396325459317,95.97637795275591
