Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,39.59441489361702,153.37308843085106
computer science,410,43.170731707317074,115.35609756097561
math,1351,35.751295336787564,204.59363434492968
chemistry,1132,33.03886925795053,273.23851590106005
engineering,969,29.927760577915375,334.5407636738906
law,1101,24.88646684831971,39.09809264305177
biology,717,63.59832635983263,94.78800557880056
health,818,47.432762836185816,68.96577017114915
physics,1299,32.79445727482679,246.080831408776
business,789,44.866920152091254,148.07984790874525
philosophy,499,33.66733466933868,82.91382765531063
economics,844,50.23696682464455,104.25236966824644
other,924,42.42424242424242,84.6926406926407
psychology,798,54.636591478696744,70.54511278195488
history,381,32.020997375328086,53.47769028871391
