Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,36.984707446808514,147.3942819148936
2,5272,43.70257966616085,106.64434749620638
3,2607,35.13617184503261,190.3958573072497
4,1537,32.20559531554977,245.68054651919323
5,804,32.46268656716418,222.91666666666666
6,477,27.044025157232703,181.70859538784066
7,273,24.90842490842491,99.32234432234432
8,247,25.910931174089068,75.79352226720648
9,223,30.044843049327355,40.83856502242153
10,118,22.88135593220339,66.29661016949153
11,109,24.770642201834864,22.807339449541285
12,97,28.8659793814433,12.989690721649485
13,77,32.467532467532465,22.376623376623378
14,47,25.53191489361702,15.106382978723405
15,26,19.23076923076923,13.346153846153847
16,24,16.666666666666668,16.166666666666668
17,32,25.0,17.6875
18,13,30.76923076923077,29.0
19,14,7.142857142857143,21.071428571428573
20,9,11.11111111111111,9.444444444444445
21,10,30.0,13.0
24,1,0.0,6.0
25,4,25.0,10.25
27,2,0.0,17.5
29,2,0.0,14.0
32,1,0.0,25.0
33,1,0.0,21.0
34,2,0.0,12.5
36,2,0.0,13.0
38,1,0.0,6.0
