Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,47.174202127659576,160.62624667553192
2,5272,54.38163884673748,128.6009104704097
3,2607,46.1066359800537,183.2692750287687
4,1537,41.314248536109304,207.24268054651918
5,804,37.81094527363184,206.17537313432837
6,477,36.897274633123686,190.74423480083857
7,273,36.99633699633699,197.72527472527472
8,247,38.05668016194332,152.51417004048582
9,223,39.91031390134529,162.54708520179372
10,118,27.11864406779661,127.20338983050847
11,109,37.61467889908257,131.29357798165137
12,97,37.11340206185567,135.17525773195877
13,77,37.66233766233766,133.2077922077922
14,47,44.680851063829785,104.34042553191489
15,26,19.23076923076923,123.03846153846153
16,24,20.833333333333332,77.33333333333333
17,32,28.125,124.15625
18,13,38.46153846153846,88.76923076923077
19,14,50.0,132.35714285714286
20,9,33.333333333333336,203.44444444444446
21,10,60.0,75.4
24,1,100.0,185.0
25,4,25.0,120.75
27,2,50.0,7.0
29,2,50.0,11.0
32,1,100.0,202.0
33,1,100.0,7.0
34,2,50.0,79.5
36,2,50.0,207.5
38,1,100.0,7.0
