Category,Total,File 1 Accuracy,File 1 Tokens
All,12032,57.795877659574465,303.7455119680851
computer science,410,59.51219512195122,297.49756097560976
math,1351,58.40118430792006,303.23168023686156
chemistry,1132,53.26855123674912,363.85335689045934
engineering,969,44.78844169246646,411.7739938080495
law,1101,38.60127157129882,301.78019981834694
biology,717,76.15062761506276,298.1715481171548
health,818,63.56968215158924,274.9168704156479
physics,1299,55.35026943802925,325.49268668206315
business,789,64.51204055766793,255.64005069708492
philosophy,499,50.501002004008015,239.3006012024048
economics,844,70.61611374407583,281.20142180094786
other,924,60.064935064935064,250.1839826839827
psychology,798,68.29573934837093,279.9273182957393
history,381,56.955380577427825,276.61942257217845
