Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,57.795877659574465,303.7455119680851
2,5272,63.106980273141126,282.5976858877086
3,2607,58.9566551591868,305.4169543536632
4,1537,55.172413793103445,330.9258295380612
5,804,51.11940298507463,347.3407960199005
6,477,45.492662473794546,330.64570230607967
7,273,46.52014652014652,329.5970695970696
8,247,44.534412955465584,323.39676113360326
9,223,56.053811659192824,317.0896860986547
10,118,43.220338983050844,298.3813559322034
11,109,38.53211009174312,334.72477064220186
12,97,42.2680412371134,313.21649484536084
13,77,48.05194805194805,281.94805194805195
14,47,42.5531914893617,310.531914893617
15,26,30.76923076923077,313.84615384615387
16,24,50.0,301.875
17,32,50.0,294.0
18,13,30.76923076923077,285.0769230769231
19,14,50.0,336.92857142857144
20,9,33.333333333333336,311.6666666666667
21,10,30.0,337.0
24,1,100.0,289.0
25,4,25.0,304.75
27,2,50.0,252.5
29,2,50.0,248.5
32,1,100.0,226.0
33,1,100.0,311.0
34,2,50.0,258.0
36,2,0.0,408.0
38,1,100.0,235.0
