step,background,inference,hypothesize,wait
0,0.9617686170212766,0.03482380319148936,0.0029920212765957447,0.0004155585106382979
1,0.010207100591715977,0.9764792899408284,0.01257396449704142,0.0007396449704142012
2,0.004575006019744763,0.04671321935949916,0.9424512400674211,0.0062605345533349385
3,0.00038226299694189603,0.599388379204893,0.38646788990825687,0.013761467889908258
4,0.0011037527593818985,0.2836644591611479,0.6981236203090507,0.017108167770419427
5,0.00299625468164794,0.450936329588015,0.5191011235955056,0.02696629213483146
6,0.0009416195856873823,0.3116760828625235,0.6581920903954802,0.02919020715630885
7,0.001226993865030675,0.21595092024539878,0.7374233128834355,0.04539877300613497
8,0.0033783783783783786,0.19087837837837837,0.7331081081081081,0.07263513513513513
9,0.0,0.16877637130801687,0.7320675105485233,0.09915611814345991
10,0.0,0.1863013698630137,0.7205479452054795,0.09315068493150686
11,0.0,0.22014925373134328,0.6567164179104478,0.12313432835820895
12,0.0,0.18848167539267016,0.6178010471204188,0.193717277486911
13,0.0,0.2013888888888889,0.5208333333333334,0.2777777777777778
14,0.0,0.2457627118644068,0.4576271186440678,0.2966101694915254
15,0.0,0.19148936170212766,0.5212765957446809,0.2872340425531915
16,0.0,0.20967741935483872,0.4838709677419355,0.3064516129032258
17,0.0,0.32653061224489793,0.3469387755102041,0.32653061224489793
18,0.0,0.22857142857142856,0.42857142857142855,0.34285714285714286
19,0.0,0.23076923076923078,0.34615384615384615,0.4230769230769231
20,0.0,0.125,0.25,0.625
21,0.0,0.125,0.125,0.75
22,0.0,0.125,0.125,0.75
23,0.0,0.3333333333333333,0.06666666666666667,0.6
24,0.0,0.09090909090909091,0.18181818181818182,0.7272727272727273
25,0.0,0.09090909090909091,0.2727272727272727,0.6363636363636364
26,0.0,0.0,0.1111111111111111,0.8888888888888888
27,0.0,0.2222222222222222,0.0,0.7777777777777778
28,0.0,0.0,0.0,1.0
29,0.0,0.0,0.14285714285714285,0.8571428571428571
30,0.0,0.2857142857142857,0.0,0.7142857142857143
31,0.0,0.16666666666666666,0.0,0.8333333333333334
32,0.0,0.4,0.0,0.6
33,0.0,0.0,0.3333333333333333,0.6666666666666666
34,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
35,0.0,0.0,0.0,1.0
36,0.0,1.0,0.0,0.0
