length,inference,wait
1,0.9910849772382397,0.008915022761760243
2,0.9840813195243575,0.015918680475642502
3,0.9696378225981349,0.030362177401865104
4,0.9486940298507462,0.051305970149253734
5,0.9287211740041929,0.07127882599580712
6,0.9584859584859585,0.04151404151404151
7,0.94679005205321,0.05320994794679005
8,0.9568385650224215,0.043161434977578475
9,0.955743879472693,0.044256120527306965
10,0.9568807339449541,0.043119266055045874
11,0.9418931583880038,0.05810684161199625
12,0.9047619047619048,0.09523809523809523
13,0.939443535188216,0.060556464811783964
14,0.9478021978021978,0.0521978021978022
15,0.9805555555555555,0.019444444444444445
16,0.8984375,0.1015625
17,0.9638009049773756,0.03619909502262444
18,0.8928571428571429,0.10714285714285714
19,0.9415204678362573,0.05847953216374269
20,0.905,0.095
23,0.9130434782608695,0.08695652173913043
24,0.96875,0.03125
26,0.8461538461538461,0.15384615384615385
28,0.9642857142857143,0.03571428571428571
31,0.6129032258064516,0.3870967741935484
32,0.78125,0.21875
33,0.9545454545454546,0.045454545454545456
35,0.45714285714285713,0.5428571428571428
37,0.43243243243243246,0.5675675675675675
