step,inference,wait
0,0.9702460106382979,0.029753989361702128
1,0.9557692307692308,0.04423076923076923
2,0.9568986274981941,0.04310137250180592
3,0.9510703363914373,0.04892966360856269
4,0.9564017660044151,0.04359823399558499
5,0.952808988764045,0.04719101123595506
6,0.9519774011299436,0.0480225988700565
7,0.9656441717791411,0.0343558282208589
8,0.9662162162162162,0.033783783783783786
9,0.9767932489451476,0.023206751054852322
10,0.9698630136986301,0.030136986301369864
11,0.9552238805970149,0.04477611940298507
12,0.93717277486911,0.06282722513089005
13,0.9027777777777778,0.09722222222222222
14,0.8813559322033898,0.11864406779661017
15,0.9574468085106383,0.0425531914893617
16,0.9354838709677419,0.06451612903225806
17,0.9387755102040817,0.061224489795918366
18,0.8285714285714286,0.17142857142857143
19,0.8846153846153846,0.11538461538461539
20,0.8125,0.1875
21,0.625,0.375
22,0.6875,0.3125
23,0.6,0.4
24,0.5454545454545454,0.45454545454545453
25,0.6363636363636364,0.36363636363636365
26,0.5555555555555556,0.4444444444444444
27,0.4444444444444444,0.5555555555555556
28,0.2857142857142857,0.7142857142857143
29,0.42857142857142855,0.5714285714285714
30,0.5714285714285714,0.42857142857142855
31,0.5,0.5
32,0.6,0.4
33,0.3333333333333333,0.6666666666666666
34,0.0,1.0
35,0.0,1.0
36,0.0,1.0
