Category,Total,File 1 Accuracy,File 1 Latency,File 1 Gen Time
All,1400,57.785714285714285,6.661678070170539,14.681995510544096
computer science,100,61.0,5.3151989889144895,11.817236971855163
math,100,50.0,9.709210579395295,14.574742929935455
chemistry,100,54.0,12.619365804195404,18.581252858638763
engineering,100,47.0,12.198717589378356,20.125337681770326
law,100,35.0,2.6782982873916628,25.505666115283965
biology,100,82.0,5.096037571430206,10.013326609134674
health,100,64.0,3.8671895146369932,12.534476487636566
physics,100,50.0,12.279724073410033,18.463693583011626
business,100,62.0,7.664499542713165,14.07360538005829
philosophy,100,55.0,3.953968439102173,7.094904775619507
economics,100,67.0,6.696528859138489,9.689136474132537
other,100,66.0,4.153781270980835,7.839094755649566
psychology,100,68.0,3.5692855453491212,7.063911910057068
history,100,48.0,3.461686916351318,28.171550614833833
