Category,Total,File 1 Accuracy,File 1 Latency,File 1 Gen Time
All,1400,43.214285714285715,0.8700555539131165,8.684060745750156
computer science,100,47.0,0.5646109533309936,6.769217646121978
math,100,25.0,0.6053744626045227,6.239323523044586
chemistry,100,40.0,1.0361726784706116,7.365568234920501
engineering,100,37.0,1.974167559146881,9.9844296002388
law,100,28.0,0.34522042036056516,21.083078262805937
biology,100,65.0,0.6405529713630677,5.6729513359069825
health,100,57.0,0.5792290949821473,7.898892958164215
physics,100,34.0,1.9431050634384155,8.55316559791565
business,100,47.0,1.2440683460235595,7.622430436611175
philosophy,100,42.0,0.5486143040657043,3.20544278383255
economics,100,49.0,0.5831345963478088,3.6732943201065065
other,100,43.0,0.7016111421585083,4.766950845718384
psychology,100,54.0,0.5663655853271484,3.995648663043976
history,100,37.0,0.8485505771636963,24.746456232070923
