Category,Total,File 1 Accuracy,File 1 Latency,File 1 Gen Time
All,1400,37.714285714285715,2.703078587906701,2.703078587906701
computer science,100,35.0,2.5857836294174192,2.5857836294174192
math,100,35.0,5.348433537483215,5.348433537483215
chemistry,100,36.0,3.5651486253738405,3.5651486253738405
engineering,100,33.0,5.1717203736305235,5.1717203736305235
law,100,27.0,2.149295861721039,2.149295861721039
biology,100,52.0,2.3817245054244993,2.3817245054244993
health,100,43.0,2.013430366516113,2.013430366516113
physics,100,33.0,3.2301258301734923,3.2301258301734923
business,100,40.0,2.34506644487381,2.34506644487381
philosophy,100,31.0,1.659286255836487,1.659286255836487
economics,100,48.0,2.0925160121917723,2.0925160121917723
other,100,37.0,1.6533899569511414,1.6533899569511414
psychology,100,46.0,1.779713966846466,1.779713966846466
history,100,32.0,1.8674648642539977,1.8674648642539977
